,nuclear reactor,scramjet,wind tunnel,quantum computing
proportion,0.6339285714285714,0.4977168949771689,0.5833333333333334,0.57847533632287
distances,0.44,0.425,0.49612403100775193,0.5302325581395348
original,0.4585987261146497,0.45021645021645024,0.6811594202898551,0.5785714285714286
