,3D printing,additive manufacturing,composite material,autonomous drones,hypersonic missile,nuclear reactor,scramjet,wind tunnel,quantum computing,smart material
mean,"[0.474, 0.474, 0.502, 0.499, 0.749, 0.854, 0.744, 0.761, 0.738, 0.79]","[0.949, 0.936, 0.937, 0.95, 0.958, 0.888, 0.769, 0.743, 0.936, 0.824]","[0.874, 0.905, 0.844, 0.88, 0.911, 0.763, 1.0, 1.0, 1.0, 1.0]","[0.836, 0.837, 0.836, 0.838, 0.825, 0.893, 0.801, 0.848, 0.894, 0.948]","[0.847, 0.797, 0.768, 0.815, 0.763, 0.827, 0.846, 0.842, 0.86, 0.857]","[0.951, 0.97, 0.959, 0.973, 0.913, 0.94, 0.945, 0.909, 0.869, 0.867]","[0.85, 0.85, 0.882, 0.868, 0.806, 0.907, 1.0, 0.935, 0.675, 0.735]","[0.885, 0.895, 0.884, 0.875, 0.904, 0.892, 0.775, 0.8, 0.794, 0.897]","[0.815, 0.87, 0.721, 0.807, 0.734, 0.595, 0.521, 0.599, 0.626, 0.52]","[0.88, 0.872, 0.877, 0.875, 0.867, 0.847, 0.837, 0.794, 0.622, 0.64]"
ste,"[0.010435516278555651, 0.008221921916437785, 0.011700427342623002, 0.006640783086353597, 0.01992234925906079, 0.027828043409481733, 0.009803060746521975, 0.008854377448471461, 0.004743416490252569, 0.022768399153212326]","[0.01612761606685873, 0.02118726032312814, 0.024665765749313357, 0.01075174404457249, 0.006957010852370433, 0.029409182239565925, 0.07779203044014213, 0.08727886342064727, 0.06071573107523288, 0.0866464078886136]","[0.008854377448471461, 0.020554804791094464, 0.014546477236774543, 0.00758946638440411, 0.030990321069650117, 0.03857978745405422, 0.0, 0.0, 0.0, 0.0]","[0.003794733192202055, 0.0022135943621178654, 0.0018973665961010274, 0.004743416490252569, 0.004427188724235731, 0.02877672670753225, 0.03162277660168379, 0.0616644143732834, 0.05470740352091295, 0.01075174404457249]","[0.03035786553761644, 0.03573373755990269, 0.018024982662959762, 0.04490434277439098, 0.02624690457939755, 0.020554804791094464, 0.006008327554319921, 0.0072732386183872715, 0.010435516278555651, 0.011067971810589328]","[0.03446882649583533, 0.012965338406690355, 0.026879360111431223, 0.01075174404457249, 0.03320391543176798, 0.023084626919229165, 0.029092954473549086, 0.017708754896942923, 0.01359779393872403, 0.005059644256269407]","[0.024981993515330196, 0.012965338406690355, 0.013914021704740867, 0.012965338406690355, 0.02846049894151541, 0.05186135362676142, 0.0, 0.0616644143732834, 0.10277402395547233, 0.09961174629530395]","[0.005692099788303082, 0.01075174404457249, 0.005692099788303082, 0.0091706052144883, 0.008854377448471461, 0.014862705002791382, 0.04269074841227312, 0.03225523213371746, 0.03352014319778482, 0.040477154050155256]","[0.0366824208579532, 0.0341525987298185, 0.032571459899734305, 0.02593067681338071, 0.04964775926464355, 0.033836370963801654, 0.023084626919229165, 0.06324555320336758, 0.08032185256827683, 0.08190299139836102]","[0.006640783086353597, 0.0072732386183872715, 0.005375872022286245, 0.008854377448471461, 0.0091706052144883, 0.01075174404457249, 0.01960612149304395, 0.03731487638998687, 0.048066620434559365, 0.07652711937607477]"
