,3D printing,additive manufacturing,composite material,autonomous drones,hypersonic missile,nuclear reactor,scramjet,wind tunnel,quantum computing,smart material
3,0.84,0.84,0.57,0.73,0.41,0.87,0.83,1.0,0.92,0.93
5,1.0,0.84,0.57,0.91,0.66,1.0,0.9,1.0,0.92,0.93
10,1.0,0.84,0.57,1.0,0.6,1.0,0.89,1.0,1.0,1.0
