,paper_id,target,type
129,https://openalex.org/W2955009106,S A Rashkovskiy,author
132,https://openalex.org/W2955009106,A I Bryzgalov,author
133,https://openalex.org/W2955009106,"Ishlinsky Institute for Problems in Mechanics RAS, Ave. Vernadskogo 101 Bldg 1, Moscow, 119526, Russia",institution
135,https://openalex.org/W2955009106,solid fuel scramjet,keyword
136,https://openalex.org/W2955009106,combustion,keyword
137,https://openalex.org/W2955009106,solid fuel,keyword
138,https://openalex.org/W2955009106,burnout,keyword
139,https://openalex.org/W2955009106,channel geometry variation,keyword
140,https://openalex.org/W3155938030,Abdulla Khamis Alhassani,author
141,https://openalex.org/W3155938030,"Department of Mechanical Engineering, Abu Dhabi University, Abu Dhabi, United Arab Emirates",institution
142,https://openalex.org/W3155938030,AE,country
143,https://openalex.org/W3155938030,Mohanad Tarek Mohamed,author
146,https://openalex.org/W3155938030,Mohammed Fares,author
149,https://openalex.org/W3155938030,Sharul Sham Dol,author
152,https://openalex.org/W3155938030,novel intake design system,keyword
153,https://openalex.org/W3155938030,propulsion,keyword
154,https://openalex.org/W3155938030,shock,keyword
155,https://openalex.org/W2907186097,R. Rouzbar,author
156,https://openalex.org/W2907186097,Middle East Technical UniversityAnkaraTurkey,institution
157,https://openalex.org/W2907186097,TR,country
158,https://openalex.org/W2907186097,Sinan Eyi,author
161,https://openalex.org/W2907186097,scramjet combustor,keyword
162,https://openalex.org/W2907186097,newton–krylov method,keyword
163,https://openalex.org/W2907186097,cavity-based,keyword
164,https://openalex.org/W2907186097,jacobian-free,keyword
165,https://openalex.org/W2799379648,R K Seleznev,author
166,https://openalex.org/W2799379648,"Dukhov Research Institute of Automatics (VNIIA), Suschevskaya Street 22, Moscow 127055, Russia; Ishlinsky Institute for Problems in Mechanics RAS, Vernadsky Street 101(1), Moscow, 119526, Russia; Moscow Institute of Physics and Technology (State University), 9 Institutskiy per., Dolgoprudny, Moscow Region, 141701, Russia",institution
167,https://openalex.org/W2799379648,RU,country
