,paper_id,target,type
109,https://openalex.org/W4280501588,quantum,keyword
110,https://openalex.org/W4280501588,technology,keyword
111,https://openalex.org/W4280501588,information,keyword
112,https://openalex.org/W3036484014,Farid M. Ablayev,author
113,https://openalex.org/W3036484014,"Kazan Federal University, Kazan, Russian Federation",institution
114,https://openalex.org/W3036484014,RU,country
115,https://openalex.org/W3036484014,Marat Ablayev,author
116,https://openalex.org/W3036484014,"Kazan Federal University, Kazan, Russian Federation; Kazan Scientific Center of the Russian Academy of Sciences, Kazan, Russian Federation",institution
118,https://openalex.org/W3036484014,Alexander Vasiliev,author
121,https://openalex.org/W3036484014,quantum hashing,keyword
122,https://openalex.org/W3036484014,quantum cryptography,keyword
123,https://openalex.org/W3036484014,fingerprinting,keyword
124,https://openalex.org/W2034539720,Jiangfeng Du,author
125,https://openalex.org/W2034539720,"Department of Modern Physics, University of Science and Technology of China, Hefei, 230027, People's Republic of China",institution
126,https://openalex.org/W2034539720,CN,country
127,https://openalex.org/W2034539720,Hui Li,author
130,https://openalex.org/W2034539720,Xiaodong Xu,author
133,https://openalex.org/W2034539720,Mingjun Shi,author
136,https://openalex.org/W2034539720,Jihui Wu,author
137,https://openalex.org/W2034539720,"Laboratory of Structure of Biology, University of Science and Technology of China, Hefei 230027, People’s Republic of China",institution
139,https://openalex.org/W2034539720,Xianyi Zhou,author
142,https://openalex.org/W2034539720,Rongdian Han,author
145,https://openalex.org/W2034539720,quantum games,keyword
146,https://openalex.org/W3131420525,Sergey Ulyanov,author
147,https://openalex.org/W3131420525,"Dubna State University, Dubna, Russian Federation",institution
148,https://openalex.org/W3131420525,RU,country
149,https://openalex.org/W3131420525,Andrey Reshetnikov,author
152,https://openalex.org/W3131420525,Olga Tyatyushkina,author
155,https://openalex.org/W3131420525,Vladimir Korenkov,author
158,https://openalex.org/W3131420525,quantum software engineering,keyword
159,https://openalex.org/W3131420525,quantum circuit,keyword
160,https://openalex.org/W3131420525,computing,keyword
161,https://openalex.org/W3047959114,Sergey Gushanskiy,author
162,https://openalex.org/W3047959114,"Department of Computer Engineering, Southern Federal University, Taganrog, Russia",institution
163,https://openalex.org/W3047959114,RU,country
164,https://openalex.org/W3047959114,Maxim Polenov,author
167,https://openalex.org/W3047959114,Viktor Potapov,author
170,https://openalex.org/W3047959114,quantum state,keyword
171,https://openalex.org/W3047959114,image recognition,keyword
172,https://openalex.org/W3047959114,boundaries selection,keyword
173,https://openalex.org/W4226470290,Abdelrahman Abuarqoub,author
174,https://openalex.org/W4226470290,"Cardiff School of Technologies, Cardiff Metropolitan University, UK",institution
175,https://openalex.org/W4226470290,GB,country
176,https://openalex.org/W4226470290,Simak Abuarqoub,author
177,https://openalex.org/W4226470290,"Faculty of Engineering and Technology, Liverpool John Moores University, United Kingdom",institution
179,https://openalex.org/W4226470290,Ahmad Alzu'bi,author
180,https://openalex.org/W4226470290,"Department of Computer Science, Jordan University of Science and Technology, Jordan",institution
181,https://openalex.org/W4226470290,JO,country
182,https://openalex.org/W4226470290,Ammar Muthanna,author
183,https://openalex.org/W4226470290,"Department of Telecommunication Networks and Data Transmission, The Bonch-Bruevich Saint-Petersburg State University of Telecommunications, Russian Federation",institution
184,https://openalex.org/W4226470290,RU,country
185,https://openalex.org/W4226470290,quantum computing,keyword
186,https://openalex.org/W4226470290,security,keyword
187,https://openalex.org/W3112953322,Sergey Gushanskiy,author
188,https://openalex.org/W3112953322,"Department of Computer Engineering, Southern Federal University, Taganrog, Russia",institution
189,https://openalex.org/W3112953322,RU,country
190,https://openalex.org/W3112953322,Valery Pukhovskiy,author
193,https://openalex.org/W3112953322,Viktor Potapov,author
196,https://openalex.org/W3112953322,Alexander Kozlovskiy,author
199,https://openalex.org/W3112953322,quantum computing,keyword
200,https://openalex.org/W3112953322,correction quantum types,keyword
201,https://openalex.org/W3112953322,hardware accelerator,keyword
202,https://openalex.org/W1668308174,Vasily E. Tarasov,author
203,https://openalex.org/W1668308174,Moscow State University,institution
204,https://openalex.org/W1668308174,RU,country
205,https://openalex.org/W1668308174,quantum computation,keyword
206,https://openalex.org/W1668308174,quantum operations,keyword
207,https://openalex.org/W1668308174,mixed states,keyword
208,https://openalex.org/W2946158922,Chu Guo,author
209,https://openalex.org/W2946158922,"Henan Key Laboratory of Quantum Information and Cryptography, IEU, Zhengzhou 450001, China.",institution
210,https://openalex.org/W2946158922,CN,country
211,https://openalex.org/W2946158922,Yong Liu,author
212,https://openalex.org/W2946158922,"Institute for Quantum Information & State Key Laboratory of High Performance Computing, College of Computer, National University of Defense Technology, Changsha 410073, China.",institution
214,https://openalex.org/W2946158922,Min Xiong,author
217,https://openalex.org/W2946158922,Shichuan Xue,author
220,https://openalex.org/W2946158922,Xiang Fu,author
223,https://openalex.org/W2946158922,Anqi Huang,author
226,https://openalex.org/W2946158922,Xiaogang Qiang,author
229,https://openalex.org/W2946158922,Ping Xu,author
232,https://openalex.org/W2946158922,Junhua Liu,author
233,https://openalex.org/W2946158922,"Information Systems Technology and Design, Singapore University of Technology and Design, 8 Somapah Road, 487372 Singapore; Quantum Intelligence Lab (QI-Lab), Supremacy Future Technologies (SFT), Guangzhou 511340, China",institution
235,https://openalex.org/W2946158922,SG,country
236,https://openalex.org/W2946158922,Shenggen Zheng,author
237,https://openalex.org/W2946158922,"Center for Quantum Computing, Peng Cheng Laboratory, Shenzhen 518055, China",institution
239,https://openalex.org/W2946158922,He-Liang Huang,author
240,https://openalex.org/W2946158922,"CAS Centre for Excellence and Synergetic Innovation Centre in Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei, Anhui 230026, China; Henan Key Laboratory of Quantum Information and Cryptography, IEU, Zhengzhou 450001, China",institution
242,https://openalex.org/W2946158922,Mingtang Deng,author
245,https://openalex.org/W2946158922,Dario Poletti,author
