,resolution,largest_cluster_percentage
apple,0.1732010983862427,0.62
car,0.154595707562482,0.5
clock,0.19284113656531868,0.54
house,0.19680994140944807,0.3
London,0.2933371663173735,0.69
mathematics,0.19598838044402028,0.41
snake,0.19990976838326147,0.49
turtle,0.196774470746624,0.45
