,#EC89E7,#DC3F92,#3A47DB,#A9BEBE,#CCC8DC,#8994E4,#F75F46
cluster_score,10.0,15.0,41.666666666666664,10.0,26.0,20.0,15.0
outside_score,20.0,15.0,36.666666666666664,5.0,46.0,30.0,5.0
decision,inconsistent,consistent,consistent,consistent,inconsistent,inconsistent,consistent
