name,size
3D printing,[2, 1, 7, 46, 26, 1, 1, 6, 8, 2]
additive manufacturing,[18, 2, 10, 45, 4, 21]
autonomous drones,[27, 13, 2, 5, 8, 34, 11]
composite material,[6, 9, 2, 76, 7]
hypersonic missile,[1, 5, 53, 7, 2, 23, 9]
nuclear reactor,[3, 10, 6, 23, 58]
quantum computing,[53, 38, 6, 3]
scramjet,[36, 41, 7, 16]
smart material,[9, 16, 8, 8, 21, 9, 29]
wind tunnel,[11, 15, 3, 38, 4, 24, 5]
