,3D printing,additive manufacturing,composite material,autonomous drones,hypersonic missile,nuclear reactor,scramjet,wind tunnel,quantum computing,smart material
distances,0.0,0.0,0.0,0.0,0.5883134130146083,0.5189873417721519,0.0,0.0,0.0,0.0
original,0.6495098039215687,0.45121951219512196,0.2808988764044944,0.4074074074074074,0.6642857142857143,0.5900621118012422,0.6445497630331753,0.6875,0.4356060606060606,0.5553539019963702
proportion,0.581081081081081,0.552901023890785,0.6423841059602649,0.501466275659824,0.627906976744186,0.3050847457627119,0.49696969696969695,0.4098360655737705,0.4752475247524752,0.6851851851851852
