,3D printing,additive manufacturing,composite material,autonomous drones,hypersonic missile,nuclear reactor,scramjet,wind tunnel,quantum computing,smart material
distances,0,0,0,0,550,0,0,0,0,0
original,400,440,350,370,460,611,530,270,417,415
proportion,390,250,440,475,430,575,390,350,415,400
