,3D printing,additive manufacturing,composite material,autonomous drones,hypersonic missile,nuclear reactor,scramjet,wind tunnel,quantum computing,smart material
distances,0,0,0,0,300,0,0,0,0,0
original,445,290,165,175,365,540,710,210,480,215
proportion,310,150,350,560,185,525,295,245,330,305
