,3D printing,additive manufacturing,composite material,autonomous drones,hypersonic missile,nuclear reactor,scramjet,wind tunnel,quantum computing,smart material
distances,0,0,0,0,305,170,0,0,0,0
original,495,615,280,390,375,590,495,630,480,345
proportion,320,685,400,382,330,265,810,345,580,400
