Silhouette Score, Purity Score, V-measure Score, Jaccard Index, # of clusters
0.018271835230087918, None, None, None, 53
Silhouette Score, Purity Score, V-measure Score, Jaccard Index, # of clusters
0.017046580687516497, None, None, None, 50
Silhouette Score, Purity Score, V-measure Score, Jaccard Index, # of clusters
0.01923300104069678, None, None, None, 57
