,3D printing,additive manufacturing,composite material,autonomous drones,hypersonic missile,nuclear reactor,scramjet,wind tunnel,quantum computing,smart material
distances,0,0,0,0,443,205,0,0,0,0
original,265,555,75,220,465,475,680,440,345,306
proportion,215,810,485,171,270,180,820,250,480,185
