,3D printing,additive manufacturing,composite material,autonomous drones,hypersonic missile,nuclear reactor,scramjet,wind tunnel,quantum computing,smart material
distances,0,0,0,0,310,190,0,0,0,0
original,143,675,192,320,235,330,375,200,447,245
proportion,155,655,270,170,160,410,830,360,530,85
