,3D printing,additive manufacturing,composite material,autonomous drones,hypersonic missile,nuclear reactor,scramjet,wind tunnel,quantum computing,smart material
mean,"[0.246, 0.257, 0.253, 0.24, 0.269, 0.469, 0.765, 0.784, 0.765, 0.756]","[0.393, 0.374, 0.368, 0.384, 0.399, 0.703, 0.943, 0.978, 0.985, 0.951]","[0.659, 0.666, 0.702, 0.649, 0.732, 0.943, 1.0, 1.0, 1.0, 1.0]","[0.337, 0.364, 0.347, 0.35, 0.357, 0.43, 0.951, 0.875, 0.907, 0.902]","[0.511, 0.516, 0.52, 0.527, 0.514, 0.484, 0.489, 0.492, 0.573, 0.569]","[0.464, 0.467, 0.467, 0.47, 0.477, 0.633, 0.767, 0.835, 0.859, 0.857]","[0.409, 0.405, 0.421, 0.389, 0.428, 0.506, 1.0, 0.99, 0.95, 0.927]","[0.377, 0.388, 0.375, 0.375, 0.384, 0.55, 0.952, 0.953, 0.954, 0.977]","[0.606, 0.52, 0.592, 0.602, 0.547, 0.874, 0.983, 0.992, 0.985, 0.961]","[0.291, 0.317, 0.304, 0.325, 0.314, 0.544, 0.676, 0.736, 0.821, 0.905]"
ste,"[0.008221921916437785, 0.008221921916437785, 0.013281566172707194, 0.0072732386183872715, 0.007905694150420948, 0.03225523213371746, 0.005375872022286245, 0.018973665961010275, 0.0022135943621178654, 0.002846049894151541]","[0.02150348808914498, 0.004743416490252569, 0.01644384383287557, 0.014862705002791382, 0.010119288512538814, 0.038896015220071065, 0.024665765749313357, 0.013914021704740867, 0.014230249470757706, 0.023717082451262844]","[0.026563132345414388, 0.018024982662959762, 0.029409182239565925, 0.029092954473549086, 0.02150348808914498, 0.007905694150420948, 0.0, 0.0, 0.0, 0.0]","[0.002846049894151541, 0.007905694150420948, 0.0041109609582188926, 0.00758946638440411, 0.009486832980505138, 0.018657438194993436, 0.012332882874656679, 0.030674093303633278, 0.01992234925906079, 0.020238577025077628]","[0.0034785054261852167, 0.004427188724235731, 0.0041109609582188926, 0.005059644256269407, 0.004427188724235731, 0.004427188724235731, 0.030674093303633278, 0.0341525987298185, 0.048699075966593036, 0.0524938091587951]","[0.009486832980505138, 0.014230249470757706, 0.011384199576606163, 0.011700427342623002, 0.012332882874656679, 0.007905694150420948, 0.010435516278555651, 0.008221921916437785, 0.006640783086353597, 0.0034785054261852167]","[0.009803060746521975, 0.011384199576606163, 0.020871032557111303, 0.015811388300841896, 0.011384199576606163, 0.011384199576606163, 0.0, 0.009486832980505138, 0.015811388300841896, 0.020238577025077628]","[0.006957010852370433, 0.008538149682454624, 0.005375872022286245, 0.0091706052144883, 0.0072732386183872715, 0.03478505426185217, 0.00758946638440411, 0.00758946638440411, 0.0072732386183872715, 0.008854377448471461]","[0.03352014319778482, 0.026879360111431223, 0.03478505426185217, 0.035417509793885846, 0.03225523213371746, 0.009486832980505138, 0.002846049894151541, 0.0012649110640673518, 0.007905694150420948, 0.012649110640673518]","[0.013914021704740867, 0.007905694150420948, 0.011384199576606163, 0.006324555320336759, 0.014862705002791382, 0.036049965325919524, 0.040160926284138414, 0.023400854685246004, 0.025298221281347035, 0.02118726032312814]"
