,3D printing,additive manufacturing,composite material,autonomous drones,hypersonic missile,nuclear reactor,scramjet,wind tunnel,quantum computing,smart material
distances,0.0,0.0,0.0,0.0,0.5865384615384616,0.4788732394366197,0.0,0.0,0.0,0.0
original,0.5857988165680473,0.5565610859728507,0.6829268292682927,0.6554621848739496,0.7352941176470589,0.5412844036697247,0.42127659574468085,0.6847826086956522,0.44651162790697674,0.6
proportion,0.6464646464646465,0.5805084745762712,0.5298013245033113,0.6563573883161512,0.7036247334754797,0.38405797101449274,0.5382059800664452,0.5111111111111111,0.4393939393939394,0.5555555555555556
